agent-1  | 2026-09-12T01:04:32.052289Z [info     ] detector.change_detected       event_id=111e490d-1085-43c2-8427-c243826f449f event_type=file_modified path=/watch/latency-ext-038.txt
agent-1  | 2026-09-12T01:04:32.064049Z [info     ] publisher.event_acked          event_id=111e490d-1085-43c2-8427-c243826f449f
agent-1  | 2026-09-12T01:04:32.145577Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=2f802f3c-ad7a-426a-99c8-e04582cc957f path=/watch/latency-ext-039.txt
agent-1  | 2026-09-12T01:04:32.152354Z [info     ] publisher.event_published      event_id=2f802f3c-ad7a-426a-99c8-e04582cc957f
agent-1  | 2026-09-12T01:04:32.154477Z [info     ] detector.change_detected       event_id=2f802f3c-ad7a-426a-99c8-e04582cc957f event_type=file_modified path=/watch/latency-ext-039.txt
agent-1  | 2026-09-12T01:04:32.166824Z [info     ] publisher.event_acked          event_id=2f802f3c-ad7a-426a-99c8-e04582cc957f
agent-1  | 2026-09-12T01:04:32.249751Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=7c11f010-ab1f-4e93-a3c2-3297afcdbf52 path=/watch/latency-ext-040.txt
agent-1  | 2026-09-12T01:04:32.256436Z [info     ] publisher.event_published      event_id=7c11f010-ab1f-4e93-a3c2-3297afcdbf52
agent-1  | 2026-09-12T01:04:32.258499Z [info     ] detector.change_detected       event_id=7c11f010-ab1f-4e93-a3c2-3297afcdbf52 event_type=file_modified path=/watch/latency-ext-040.txt
agent-1  | 2026-09-12T01:04:32.267744Z [info     ] publisher.event_acked          event_id=7c11f010-ab1f-4e93-a3c2-3297afcdbf52
agent-1  | 2026-09-12T01:04:32.354301Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=dd53c453-88f2-486f-9a77-f4fc841f3c91 path=/watch/latency-ext-041.txt
agent-1  | 2026-09-12T01:04:32.360996Z [info     ] publisher.event_published      event_id=dd53c453-88f2-486f-9a77-f4fc841f3c91
agent-1  | 2026-09-12T01:04:32.363126Z [info     ] detector.change_detected       event_id=dd53c453-88f2-486f-9a77-f4fc841f3c91 event_type=file_modified path=/watch/latency-ext-041.txt
agent-1  | 2026-09-12T01:04:32.372919Z [info     ] publisher.event_acked          event_id=dd53c453-88f2-486f-9a77-f4fc841f3c91
agent-1  | 2026-09-12T01:04:32.454004Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=9f73fb33-8484-4a89-acc6-c7010b55a50d path=/watch/latency-ext-042.txt
agent-1  | 2026-09-12T01:04:32.460442Z [info     ] publisher.event_published      event_id=9f73fb33-8484-4a89-acc6-c7010b55a50d
agent-1  | 2026-09-12T01:04:32.462495Z [info     ] detector.change_detected       event_id=9f73fb33-8484-4a89-acc6-c7010b55a50d event_type=file_modified path=/watch/latency-ext-042.txt
agent-1  | 2026-09-12T01:04:32.472478Z [info     ] publisher.event_acked          event_id=9f73fb33-8484-4a89-acc6-c7010b55a50d
agent-1  | 2026-09-12T01:04:32.485649Z [warning  ] detector.out_of_scope_drop     path=/runc-process2919126513 total_drops=39
agent-1  | 2026-09-12T01:04:32.485897Z [warning  ] detector.out_of_scope_drop     path=/runc-process2919126513 total_drops=40
agent-1  | 2026-09-12T01:04:32.515703Z [warning  ] detector.out_of_scope_drop     path=/runc-process2919126513 total_drops=41
agent-1  | 2026-09-12T01:04:32.552806Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=3528e0c2-ca36-4519-ab4e-c6d2265add1d path=/watch/latency-ext-043.txt
agent-1  | 2026-09-12T01:04:32.556654Z [info     ] publisher.event_published      event_id=3528e0c2-ca36-4519-ab4e-c6d2265add1d
agent-1  | 2026-09-12T01:04:32.558017Z [info     ] detector.change_detected       event_id=3528e0c2-ca36-4519-ab4e-c6d2265add1d event_type=file_modified path=/watch/latency-ext-043.txt
agent-1  | 2026-09-12T01:04:32.563811Z [info     ] publisher.event_acked          event_id=3528e0c2-ca36-4519-ab4e-c6d2265add1d
agent-1  | 2026-09-12T01:04:32.626909Z [warning  ] detector.out_of_scope_drop     path=/runc-process424328543 total_drops=42
agent-1  | 2026-09-12T01:04:32.627308Z [warning  ] detector.out_of_scope_drop     path=/runc-process424328543 total_drops=43
agent-1  | 2026-09-12T01:04:32.641570Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=d7ba2b8f-6c91-445d-9f1d-d1539084c1b9 path=/watch/latency-ext-044.txt
agent-1  | 2026-09-12T01:04:32.645489Z [info     ] publisher.event_published      event_id=d7ba2b8f-6c91-445d-9f1d-d1539084c1b9
agent-1  | 2026-09-12T01:04:32.646897Z [info     ] detector.change_detected       event_id=d7ba2b8f-6c91-445d-9f1d-d1539084c1b9 event_type=file_modified path=/watch/latency-ext-044.txt
agent-1  | 2026-09-12T01:04:32.651693Z [info     ] publisher.event_acked          event_id=d7ba2b8f-6c91-445d-9f1d-d1539084c1b9
agent-1  | 2026-09-12T01:04:32.657998Z [warning  ] detector.out_of_scope_drop     path=/runc-process424328543 total_drops=44
agent-1  | 2026-09-12T01:04:32.752627Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=c552185b-a52f-499a-bc56-4fcc5382b971 path=/watch/latency-ext-045.txt
agent-1  | 2026-09-12T01:04:32.759036Z [info     ] publisher.event_published      event_id=c552185b-a52f-499a-bc56-4fcc5382b971
agent-1  | 2026-09-12T01:04:32.761780Z [info     ] detector.change_detected       event_id=c552185b-a52f-499a-bc56-4fcc5382b971 event_type=file_modified path=/watch/latency-ext-045.txt
agent-1  | 2026-09-12T01:04:32.771723Z [info     ] publisher.event_acked          event_id=c552185b-a52f-499a-bc56-4fcc5382b971
agent-1  | 2026-09-12T01:04:32.852971Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=e74e39df-75ad-4615-8830-175d3a29c634 path=/watch/latency-ext-046.txt
agent-1  | 2026-09-12T01:04:32.860009Z [info     ] publisher.event_published      event_id=e74e39df-75ad-4615-8830-175d3a29c634
agent-1  | 2026-09-12T01:04:32.862515Z [info     ] detector.change_detected       event_id=e74e39df-75ad-4615-8830-175d3a29c634 event_type=file_modified path=/watch/latency-ext-046.txt
agent-1  | 2026-09-12T01:04:32.872727Z [info     ] publisher.event_acked          event_id=e74e39df-75ad-4615-8830-175d3a29c634
agent-1  | 2026-09-12T01:04:32.955246Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=26cc745e-7634-4b88-ba4e-60a812ea8037 path=/watch/latency-ext-047.txt
agent-1  | 2026-09-12T01:04:32.962338Z [info     ] publisher.event_published      event_id=26cc745e-7634-4b88-ba4e-60a812ea8037
agent-1  | 2026-09-12T01:04:32.964617Z [info     ] detector.change_detected       event_id=26cc745e-7634-4b88-ba4e-60a812ea8037 event_type=file_modified path=/watch/latency-ext-047.txt
agent-1  | 2026-09-12T01:04:32.975170Z [info     ] publisher.event_acked          event_id=26cc745e-7634-4b88-ba4e-60a812ea8037
agent-1  | 2026-09-12T01:04:33.059266Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=0d4cd09c-1e2a-4365-98c6-1d77bb478b13 path=/watch/latency-ext-048.txt
