========================================================================
generador_carga.py — arranque 2026-09-18T02:11:45.884765+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 100
  plan.modificaciones          = 350
  plan.borrados                = 50
  plan.grupos_efimeros         = 10
  plan.pares_revertidos        = 35
  plan.rafagas                 = 14
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 500
  plan.archivos_distintos      = 100
========================================================================
inicio_utc = 2026-09-18T02:11:45.886095+00:00
 [00001/500] create simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-18T02:11:45.886235+00:00
 [00002/500] delete simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-18T02:11:49.486465+00:00
 [00003/500] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:11:53.086217+00:00
 [00004/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:11:56.686212+00:00
 [00005/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:00.286151+00:00
 [00006/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:03.885589+00:00
 [00007/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:07.485368+00:00
 [00008/500] create simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:11.085050+00:00
 [00009/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:14.684454+00:00
 [00010/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:18.284607+00:00
 [00011/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:21.884009+00:00
 [00012/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:25.483993+00:00
 [00013/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:29.083395+00:00
 [00014/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:32.683478+00:00
 [00015/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:36.283266+00:00
 [00016/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:39.882647+00:00
 [00017/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:43.481907+00:00
 [00018/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:12:47.082172+00:00
 [00019/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:50.681966+00:00
 [00020/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:54.281070+00:00
 [00021/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:12:57.881522+00:00
 [00022/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:13:01.481265+00:00
 [00023/500] create simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T02:13:05.080345+00:00
 [00024/500] create simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:13:08.680151+00:00
 [00025/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:13:12.280474+00:00
 [00026/500] delete simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T02:13:15.879774+00:00
 [00027/500] create simple     /srv/fim-watch/gen_00006.txt ts=2026-09-18T02:13:19.479562+00:00
 [00028/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:13:23.078819+00:00
 [00029/500] create simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:13:26.679041+00:00
 [00030/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:13:30.279130+00:00
 [00031/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:13:33.878057+00:00
 [00032/500] delete simple     /srv/fim-watch/gen_00006.txt ts=2026-09-18T02:13:37.478310+00:00
 [00033/500] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T02:13:41.077741+00:00
 [00034/500] create simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:13:44.677392+00:00
 [00035/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:13:48.277062+00:00
 [00036/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:13:51.877375+00:00
 [00037/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:13:55.476515+00:00
 [00038/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:13:59.076170+00:00
 [00039/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:14:02.675978+00:00
 [00040/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:14:06.275608+00:00
 [00041/500] create simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T02:14:09.875628+00:00
 [00042/500] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T02:14:13.475670+00:00
 [00043/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T02:14:17.075164+00:00
 [00044/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:14:20.675006+00:00
 [00045/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:14:24.274507+00:00
 [00046/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:14:27.874301+00:00
 [00047/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T02:14:31.473943+00:00
 [00048/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:14:35.073419+00:00
 [00049/500] create simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:14:38.673293+00:00
 [00050/500] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:14:42.273167+00:00
 [00051/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T02:14:45.872485+00:00
 [00052/500] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T02:14:49.472368+00:00
 [00053/500] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T02:14:53.072160+00:00
 [00054/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:14:56.671437+00:00
 [00055/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:15:00.271270+00:00
 [00056/500] modify simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:03.871398+00:00
 [00057/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:07.470661+00:00
 [00058/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:11.070710+00:00
 [00059/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:14.670734+00:00
 [00060/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:18.269900+00:00
 [00061/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T02:15:21.870001+00:00
 [00062/500] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:15:25.469573+00:00
 [00063/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:15:29.069151+00:00
 [00064/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:15:32.669089+00:00
 [00065/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:15:36.268602+00:00
 [00066/500] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T02:15:39.868222+00:00
 [00067/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T02:15:43.468280+00:00
 [00068/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T02:15:47.068080+00:00
 [00069/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:15:50.667758+00:00
 [00070/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:15:54.267298+00:00
 [00071/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:15:57.866966+00:00
 [00072/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:16:01.466353+00:00
 [00073/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:16:05.065833+00:00
 [00074/500] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-18T02:16:08.665694+00:00
 [00075/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:16:12.265506+00:00
 [00076/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:16:15.865520+00:00
 [00077/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:16:19.465183+00:00
 [00078/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:16:23.065172+00:00
 [00079/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:16:26.664757+00:00
