event_id,path,detected_at,received_at
39b64b30-accb-4945-a68f-deb9ca143e9f,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:19.40979+00,2026-09-18 13:01:23.948502+00
df403375-85e5-4f9f-a672-138b11bae6cb,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:19.510572+00,2026-09-18 13:01:23.988628+00
2d5aa35c-ae76-4377-8abe-2495dd83a319,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:19.610317+00,2026-09-18 13:01:24.00637+00
ab626fb9-12fe-4091-be29-3aba49c4a645,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:19.710772+00,2026-09-18 13:01:24.02367+00
c58af361-70fd-4efa-99cf-690bca36349e,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:19.810653+00,2026-09-18 13:01:24.040778+00
5a74b6be-99b2-4597-975d-27fd46a4eed2,/srv/fim-watch/gen_00002.txt,2026-09-18 12:56:19.910722+00,2026-09-18 13:01:24.05684+00
e2c0165c-4118-40c9-9711-5f6a3223b0ce,/srv/fim-watch/critico/gen_00003.txt,2026-09-18 12:56:20.010533+00,2026-09-18 13:01:24.070649+00
96319e6c-50ef-487c-b247-6d9a9e84e4d7,/srv/fim-watch/gen_00001.txt,2026-09-18 12:56:20.11024+00,2026-09-18 13:01:24.084967+00
92c63cbf-39e4-43bb-8b06-f651ade984ec,/srv/fim-watch/gen_00004.txt,2026-09-18 12:56:20.21055+00,2026-09-18 13:01:24.100051+00
ff71e81f-60de-41ec-a6f5-e7608baf8b74,/srv/fim-watch/critico/gen_00003.txt,2026-09-18 12:56:20.310372+00,2026-09-18 13:01:24.111673+00
1c1836d6-6ca3-4729-ac59-c8385542d685,/srv/fim-watch/critico/gen_00003.txt,2026-09-18 12:56:20.410437+00,2026-09-18 13:01:24.126297+00
e54f7d04-6a33-47df-a6dc-f66b65fb8c98,/srv/fim-watch/gen_00004.txt,2026-09-18 12:56:20.510325+00,2026-09-18 13:01:24.139273+00
1a592bb5-64e2-4d1b-8f66-a7660884608d,/srv/fim-watch/gen_00002.txt,2026-09-18 12:56:20.610648+00,2026-09-18 13:01:24.152078+00
b3a49ec2-5c6a-446a-8c65-4a2bda1dcc8a,/srv/fim-watch/critico/gen_00003.txt,2026-09-18 12:56:20.710631+00,2026-09-18 13:01:24.16438+00
b2d8c834-bac5-485a-a7b2-64a92b464341,/srv/fim-watch/gen_00005.txt,2026-09-18 12:56:20.810345+00,2026-09-18 13:01:24.175958+00
027012dd-2db5-49a1-a7e0-b033dc12961d,/srv/fim-watch/gen_00005.txt,2026-09-18 12:56:20.910394+00,2026-09-18 13:01:24.18721+00
270508c1-a34e-4b6f-a442-3876c64e0c67,/srv/fim-watch/gen_00006.txt,2026-09-18 12:56:21.010087+00,2026-09-18 13:01:24.199239+00
