event_id,path,event_type,status,severity,detected_at,received_at
437c09e2-85ed-4ca5-ab89-ff6d52d87dc6,/srv/fim-watch/gen_00001.txt,file_modified,alert_only,high,2026-09-18 02:57:41.702339+00,2026-09-18 03:02:45.900467+00
c04fa519-53c9-4336-bef6-25a74620edf4,/srv/fim-watch/gen_00001.txt,file_modified,alert_only,high,2026-09-18 02:57:41.802995+00,2026-09-18 03:02:45.975533+00
4acc7769-5b92-47d9-a25e-211ee4368f03,/srv/fim-watch/gen_00001.txt,file_modified,alert_only,high,2026-09-18 02:57:41.903209+00,2026-09-18 03:02:45.988725+00
55d4d913-613f-46ca-b56b-114e27d5df92,/srv/fim-watch/gen_00001.txt,file_modified,alert_only,high,2026-09-18 02:57:42.003436+00,2026-09-18 03:02:46.008867+00
cac1f726-8cee-42cb-b87f-090bdd27f4ff,/srv/fim-watch/gen_00001.txt,file_modified,alert_only,high,2026-09-18 02:57:42.103023+00,2026-09-18 03:02:46.028264+00
652cb0ba-bfdc-4014-9951-1a604f6b1c0d,/srv/fim-watch/gen_00002.txt,file_modified,alert_only,high,2026-09-18 02:57:42.203358+00,2026-09-18 03:02:46.055947+00
976f4588-2e7a-4f86-b32f-73d961c7af56,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:42.303033+00,2026-09-18 03:02:46.063424+00
efb6e9bc-3af7-4aee-9e8d-84f987d5b6bf,/srv/fim-watch/gen_00001.txt,file_deleted,alert_only,high,2026-09-18 02:57:42.403327+00,2026-09-18 03:02:46.082561+00
e743aa91-7f47-49ff-be03-a521a16bdd3a,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:42.50245+00,2026-09-18 03:02:46.102578+00
5151b01f-e061-4df5-983f-0795f8ed99cc,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:42.60316+00,2026-09-18 03:02:46.121469+00
f9d68d25-6209-49bd-b1bb-3e8099d8da4a,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:42.703342+00,2026-09-18 03:02:46.140839+00
9c73550b-b7c1-4b6d-ac74-a011fb700bda,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:42.803184+00,2026-09-18 03:02:46.161595+00
bfb508b7-6352-40d6-8f67-db934b616e6f,/srv/fim-watch/gen_00002.txt,file_modified,alert_only,high,2026-09-18 02:57:42.903231+00,2026-09-18 03:02:46.18224+00
43b6a8cc-359a-4058-8338-cb5d7f4f67ab,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:43.00336+00,2026-09-18 03:02:46.199986+00
2823f994-fea0-440b-a4d2-ce91e772bfe5,/srv/fim-watch/gen_00005.txt,file_modified,alert_only,high,2026-09-18 02:57:43.102809+00,2026-09-18 03:02:46.216713+00
1d4bd79f-1d3d-43c8-a727-0de82ea68d79,/srv/fim-watch/gen_00005.txt,file_deleted,alert_only,high,2026-09-18 02:57:43.203175+00,2026-09-18 03:02:46.232133+00
81c3ad9a-242c-4ad6-ae9e-46cd02897729,/srv/fim-watch/gen_00006.txt,file_modified,alert_only,high,2026-09-18 02:57:43.303274+00,2026-09-18 03:02:46.246951+00
274078d5-4e4c-451b-9181-c5e394216c88,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 02:57:43.403255+00,2026-09-18 03:02:46.261542+00
d010e876-5ee6-44c7-8ae6-6e9e4dece5ba,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:43.503368+00,2026-09-18 03:02:46.278496+00
7aa4b84b-a350-4559-a564-307d8deecee8,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:43.603135+00,2026-09-18 03:02:46.293024+00
7ec77783-e9d2-44f5-b797-e10e9e691f47,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:43.703341+00,2026-09-18 03:02:46.318872+00
64f0759a-1305-4197-9ffc-1bc4c27dce47,/srv/fim-watch/critico/gen_00003.txt,file_modified,alert_only,critical,2026-09-18 02:57:43.803193+00,2026-09-18 03:02:46.326075+00
7d9b7b29-9ca3-4c90-9448-0501e4e01b7a,/srv/fim-watch/gen_00006.txt,file_modified,alert_only,high,2026-09-18 02:57:43.903384+00,2026-09-18 03:02:46.341574+00
e7f7cdd8-2aa5-465e-845a-b23baae8cf1b,/srv/fim-watch/critico/gen_00003.txt,file_deleted,alert_only,critical,2026-09-18 02:57:44.003377+00,2026-09-18 03:02:46.356545+00
6d73997f-e8f0-4657-b9ae-5678328f596a,/srv/fim-watch/gen_00006.txt,file_modified,alert_only,high,2026-09-18 02:57:44.102881+00,2026-09-18 03:02:46.371403+00
eca64909-73f4-4a5b-9d7f-4addfe0bf5b2,/srv/fim-watch/gen_00008.txt,file_modified,alert_only,high,2026-09-18 02:57:44.202663+00,2026-09-18 03:02:46.386038+00
1faf081f-b23d-4e28-b54f-5ee514cfcaa0,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 02:57:44.302614+00,2026-09-18 03:02:46.399992+00
c76069a8-ecca-4e30-bae9-0f44fea8d2b1,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 02:57:44.403424+00,2026-09-18 03:02:46.415012+00
3dc5cd85-35f2-439a-b746-7419d153487c,/srv/fim-watch/gen_00002.txt,file_modified,alert_only,high,2026-09-18 02:57:44.502946+00,2026-09-18 03:02:46.430532+00
011476c8-8cad-4dfe-9e9d-38dd2b96bcbd,/srv/fim-watch/gen_00009.txt,file_modified,alert_only,high,2026-09-18 02:57:44.603123+00,2026-09-18 03:02:46.445618+00
80bc3919-606f-482a-aa66-0ab80a4395b2,/srv/fim-watch/gen_00009.txt,file_deleted,alert_only,high,2026-09-18 02:57:44.703347+00,2026-09-18 03:02:46.461186+00
c88420b2-a68e-474a-ac12-bb43963b96a4,/srv/fim-watch/gen_00006.txt,file_modified,alert_only,high,2026-09-18 02:57:44.80344+00,2026-09-18 03:02:46.477176+00
7f085e32-71a9-449c-914b-05530e4b2581,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 02:57:44.903216+00,2026-09-18 03:02:46.492631+00
4fdcf608-f5b3-451a-8286-088417835867,/srv/fim-watch/gen_00002.txt,file_deleted,alert_only,high,2026-09-18 02:57:45.002351+00,2026-09-18 03:02:46.509813+00
4687b3cf-335f-4fc9-9b94-b2fecd35241d,/srv/fim-watch/gen_00010.txt,file_created,alert_only,high,2026-09-18 02:57:45.102703+00,2026-09-18 03:02:46.525139+00
9cc8042f-26af-4cd2-ba4d-e8b9fcdecf55,/srv/fim-watch/gen_00010.txt,file_modified,alert_only,high,2026-09-18 02:57:45.20353+00,2026-09-18 03:02:46.541372+00
d4806377-8175-4a5c-9ad1-c6ae70c5cf81,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.302995+00,2026-09-18 03:02:46.55767+00
269b9074-0e37-4fe8-a438-55c4a1c4d3a6,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.402561+00,2026-09-18 03:02:46.57349+00
436b179f-6396-4a81-b208-af897d2734d9,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.503551+00,2026-09-18 03:02:46.589994+00
57a66879-30e4-4d9c-811d-963f440e92ed,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.603255+00,2026-09-18 03:02:46.607254+00
9d5867f7-4c6e-4ba5-ab78-e5bc7cbe82a5,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.703258+00,2026-09-18 03:02:46.623873+00
9dc5795b-07d7-4bbb-9a41-150c51136f10,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.803259+00,2026-09-18 03:02:46.641479+00
c451be0a-0a38-412e-abc2-b5eb59701931,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:45.903327+00,2026-09-18 03:02:46.657358+00
4e5dc3b6-ab69-428a-8ddb-c3a0fb0bb73b,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:46.003213+00,2026-09-18 03:02:46.673003+00
0406be6a-f348-4a4c-b868-b908819fcafb,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:46.102972+00,2026-09-18 03:02:46.688901+00
ebc1ddb7-a821-431a-b9d7-f0f4963452ef,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:46.203282+00,2026-09-18 03:02:46.704437+00
a9d3bea6-17bd-4d3e-bf65-53c001d3aead,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 02:57:46.303106+00,2026-09-18 03:02:46.720235+00
d2c4fd7c-be02-4066-9af9-2d73ee1c3d6d,/srv/fim-watch/gen_00011.txt,file_modified,alert_only,high,2026-09-18 02:57:46.402913+00,2026-09-18 03:02:46.736019+00
07f89981-b83d-441c-9656-d9e49847102f,/srv/fim-watch/gen_00012.txt,file_modified,alert_only,high,2026-09-18 02:57:46.502756+00,2026-09-18 03:02:46.75221+00
