========================================================================
generador_carga.py — arranque 2026-09-18T20:53:57.965728+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260918
  rate_eventos_por_segundo     = 10.0
  count                        = 400
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 39.900000000000006
  manifiesto                   = /srv/evidencia/item42_manifiesto.json
  log                          = /srv/evidencia/item42_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 80
  plan.modificaciones          = 280
  plan.borrados                = 40
  plan.grupos_efimeros         = 8
  plan.pares_revertidos        = 28
  plan.rafagas                 = 11
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 400
  plan.archivos_distintos      = 80
========================================================================
inicio_utc = 2026-09-18T20:53:57.966913+00:00
 [00001/400] create simple     /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:57.967066+00:00
 [00002/400] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:58.067613+00:00
 [00003/400] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:58.167549+00:00
 [00004/400] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:58.267611+00:00
 [00005/400] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:58.367603+00:00
 [00006/400] delete simple     /srv/fim-watch/gen_00001.txt ts=2026-09-18T20:53:58.467453+00:00
 [00007/400] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:58.567379+00:00
 [00008/400] create efimero    /srv/fim-watch/gen_00003.txt ts=2026-09-18T20:53:58.667440+00:00
 [00009/400] delete efimero    /srv/fim-watch/gen_00003.txt ts=2026-09-18T20:53:58.767208+00:00
 [00010/400] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:58.867310+00:00
 [00011/400] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:58.967523+00:00
 [00012/400] create efimero    /srv/fim-watch/gen_00004.txt ts=2026-09-18T20:53:59.067253+00:00
 [00013/400] delete efimero    /srv/fim-watch/gen_00004.txt ts=2026-09-18T20:53:59.167218+00:00
 [00014/400] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.267294+00:00
 [00015/400] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.367283+00:00
 [00016/400] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.467462+00:00
 [00017/400] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.567426+00:00
 [00018/400] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.667693+00:00
 [00019/400] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T20:53:59.767587+00:00
