seq,patron,operacion,ruta_agente,fim,control
1,simple,create,/srv/fim-watch/critico/gen_00001.txt,1,0
2,simple,delete,/srv/fim-watch/critico/gen_00001.txt,1,0
3,simple,create,/srv/fim-watch/gen_00002.txt,1,0
4,simple,modify,/srv/fim-watch/gen_00002.txt,1,0
5,revertido,modify,/srv/fim-watch/gen_00002.txt,1,0
6,revertido,modify,/srv/fim-watch/gen_00002.txt,1,0
7,simple,modify,/srv/fim-watch/gen_00002.txt,1,0
8,simple,create,/srv/fim-watch/gen_00003.txt,1,0
9,simple,modify,/srv/fim-watch/gen_00002.txt,1,0
10,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
11,simple,modify,/srv/fim-watch/gen_00002.txt,1,0
12,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
13,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
14,colapsado,modify,/srv/fim-watch/gen_00002.txt,1,0
15,colapsado,modify,/srv/fim-watch/gen_00002.txt,1,0
16,colapsado,modify,/srv/fim-watch/gen_00002.txt,1,0
17,colapsado,modify,/srv/fim-watch/gen_00002.txt,1,0
18,colapsado,modify,/srv/fim-watch/gen_00002.txt,1,0
19,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
20,revertido,modify,/srv/fim-watch/gen_00003.txt,1,0
21,revertido,modify,/srv/fim-watch/gen_00003.txt,1,0
22,simple,modify,/srv/fim-watch/gen_00002.txt,1,0
23,simple,create,/srv/fim-watch/gen_00004.txt,1,0
24,simple,create,/srv/fim-watch/gen_00005.txt,1,0
25,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
26,simple,delete,/srv/fim-watch/gen_00002.txt,1,0
27,simple,create,/srv/fim-watch/gen_00006.txt,1,0
28,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
29,simple,create,/srv/fim-watch/gen_00007.txt,1,0
30,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
31,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
32,simple,delete,/srv/fim-watch/gen_00006.txt,1,0
33,simple,create,/srv/fim-watch/gen_00008.txt,1,0
34,simple,create,/srv/fim-watch/critico/gen_00009.txt,1,1
35,simple,modify,/srv/fim-watch/gen_00007.txt,1,0
36,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
37,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
38,simple,modify,/srv/fim-watch/gen_00007.txt,1,0
39,revertido,modify,/srv/fim-watch/gen_00007.txt,1,0
40,revertido,modify,/srv/fim-watch/gen_00007.txt,1,0
41,simple,create,/srv/fim-watch/critico/gen_00010.txt,1,0
42,simple,modify,/srv/fim-watch/gen_00004.txt,1,0
43,simple,modify,/srv/fim-watch/gen_00008.txt,1,0
44,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
45,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
46,simple,modify,/srv/fim-watch/gen_00007.txt,1,0
47,simple,modify,/srv/fim-watch/critico/gen_00010.txt,1,0
48,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
49,simple,create,/srv/fim-watch/critico/gen_00011.txt,1,0
50,simple,create,/srv/fim-watch/gen_00012.txt,1,0
51,simple,modify,/srv/fim-watch/gen_00008.txt,1,0
52,simple,delete,/srv/fim-watch/gen_00004.txt,1,0
53,simple,create,/srv/fim-watch/gen_00013.txt,1,1
54,simple,modify,/srv/fim-watch/gen_00005.txt,1,0
55,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
56,simple,modify,/srv/fim-watch/gen_00012.txt,1,0
57,colapsado,modify,/srv/fim-watch/gen_00012.txt,1,0
58,colapsado,modify,/srv/fim-watch/gen_00012.txt,1,0
59,colapsado,modify,/srv/fim-watch/gen_00012.txt,1,0
60,colapsado,modify,/srv/fim-watch/gen_00012.txt,1,0
61,colapsado,modify,/srv/fim-watch/gen_00012.txt,1,0
62,simple,create,/srv/fim-watch/gen_00014.txt,1,1
63,revertido,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
64,revertido,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
65,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
66,simple,create,/srv/fim-watch/gen_00015.txt,1,0
67,simple,modify,/srv/fim-watch/gen_00015.txt,1,0
68,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
69,simple,modify,/srv/fim-watch/gen_00005.txt,1,0
70,revertido,modify,/srv/fim-watch/gen_00014.txt,1,0
71,revertido,modify,/srv/fim-watch/gen_00014.txt,1,0
72,revertido,modify,/srv/fim-watch/gen_00005.txt,1,0
73,revertido,modify,/srv/fim-watch/gen_00005.txt,1,0
74,simple,create,/srv/fim-watch/gen_00016.txt,1,0
75,colapsado,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
76,colapsado,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
77,colapsado,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
78,colapsado,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
79,colapsado,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
80,simple,create,/srv/fim-watch/gen_00017.txt,1,0
81,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
82,simple,modify,/srv/fim-watch/gen_00003.txt,1,0
83,simple,modify,/srv/fim-watch/critico/gen_00010.txt,1,0
84,simple,delete,/srv/fim-watch/gen_00008.txt,1,0
85,simple,modify,/srv/fim-watch/critico/gen_00010.txt,1,0
86,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
87,simple,delete,/srv/fim-watch/gen_00012.txt,1,0
88,simple,delete,/srv/fim-watch/gen_00016.txt,1,0
89,simple,modify,/srv/fim-watch/gen_00015.txt,1,0
90,efimero,create,/srv/fim-watch/critico/gen_00018.txt,1,0
91,efimero,delete,/srv/fim-watch/critico/gen_00018.txt,1,0
92,simple,modify,/srv/fim-watch/critico/gen_00010.txt,1,0
93,simple,delete,/srv/fim-watch/gen_00003.txt,1,0
94,simple,create,/srv/fim-watch/gen_00019.txt,1,0
95,simple,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
96,simple,create,/srv/fim-watch/gen_00020.txt,1,1
97,simple,modify,/srv/fim-watch/gen_00017.txt,1,0
98,simple,modify,/srv/fim-watch/gen_00015.txt,1,0
99,simple,create,/srv/fim-watch/critico/gen_00021.txt,1,0
100,simple,create,/srv/fim-watch/critico/gen_00022.txt,1,0
101,simple,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
102,simple,modify,/srv/fim-watch/gen_00005.txt,1,0
103,simple,create,/srv/fim-watch/gen_00023.txt,1,0
104,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
105,simple,delete,/srv/fim-watch/gen_00015.txt,1,0
106,simple,modify,/srv/fim-watch/gen_00019.txt,1,0
107,simple,modify,/srv/fim-watch/gen_00007.txt,1,0
108,colapsado,modify,/srv/fim-watch/gen_00023.txt,1,0
109,colapsado,modify,/srv/fim-watch/gen_00023.txt,1,0
110,colapsado,modify,/srv/fim-watch/gen_00023.txt,1,0
111,colapsado,modify,/srv/fim-watch/gen_00023.txt,1,0
112,colapsado,modify,/srv/fim-watch/gen_00023.txt,1,0
113,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
114,simple,modify,/srv/fim-watch/gen_00005.txt,1,0
115,simple,modify,/srv/fim-watch/critico/gen_00022.txt,1,0
116,simple,modify,/srv/fim-watch/gen_00023.txt,1,0
117,simple,create,/srv/fim-watch/critico/gen_00024.txt,1,1
118,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
119,simple,delete,/srv/fim-watch/critico/gen_00010.txt,1,0
120,simple,create,/srv/fim-watch/gen_00025.txt,1,1
121,simple,modify,/srv/fim-watch/critico/gen_00021.txt,1,0
122,simple,delete,/srv/fim-watch/critico/gen_00021.txt,1,0
123,simple,modify,/srv/fim-watch/gen_00017.txt,1,0
124,revertido,modify,/srv/fim-watch/gen_00017.txt,1,0
125,revertido,modify,/srv/fim-watch/gen_00017.txt,1,0
126,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
127,simple,delete,/srv/fim-watch/gen_00007.txt,1,0
128,simple,modify,/srv/fim-watch/gen_00017.txt,1,0
129,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
130,simple,create,/srv/fim-watch/gen_00026.txt,1,0
131,simple,delete,/srv/fim-watch/gen_00005.txt,1,0
132,simple,modify,/srv/fim-watch/gen_00023.txt,1,0
133,simple,delete,/srv/fim-watch/critico/gen_00022.txt,1,0
134,simple,modify,/srv/fim-watch/gen_00026.txt,1,0
135,simple,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
136,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
137,simple,modify,/srv/fim-watch/gen_00025.txt,1,0
138,revertido,modify,/srv/fim-watch/gen_00019.txt,1,0
139,revertido,modify,/srv/fim-watch/gen_00019.txt,1,0
140,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
141,revertido,modify,/srv/fim-watch/gen_00014.txt,1,0
142,revertido,modify,/srv/fim-watch/gen_00014.txt,1,0
143,simple,create,/srv/fim-watch/critico/gen_00027.txt,1,1
144,simple,modify,/srv/fim-watch/gen_00025.txt,1,0
145,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
146,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
147,simple,delete,/srv/fim-watch/gen_00019.txt,1,0
148,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
149,simple,create,/srv/fim-watch/gen_00028.txt,1,0
150,simple,create,/srv/fim-watch/critico/gen_00029.txt,1,1
151,simple,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
152,simple,modify,/srv/fim-watch/gen_00013.txt,1,0
153,simple,modify,/srv/fim-watch/critico/gen_00024.txt,1,0
154,simple,create,/srv/fim-watch/gen_00030.txt,1,0
155,simple,modify,/srv/fim-watch/gen_00020.txt,1,0
156,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
157,simple,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
158,simple,create,/srv/fim-watch/gen_00031.txt,1,0
159,simple,create,/srv/fim-watch/gen_00032.txt,1,1
160,simple,modify,/srv/fim-watch/gen_00026.txt,1,0
161,efimero,create,/srv/fim-watch/critico/gen_00033.txt,1,0
162,efimero,delete,/srv/fim-watch/critico/gen_00033.txt,1,0
163,simple,create,/srv/fim-watch/gen_00034.txt,1,1
164,simple,delete,/srv/fim-watch/gen_00028.txt,1,0
165,simple,create,/srv/fim-watch/critico/gen_00035.txt,1,0
166,simple,create,/srv/fim-watch/gen_00036.txt,1,1
167,simple,create,/srv/fim-watch/gen_00037.txt,1,0
168,simple,modify,/srv/fim-watch/gen_00025.txt,1,0
169,revertido,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
170,revertido,modify,/srv/fim-watch/critico/gen_00009.txt,1,0
171,simple,delete,/srv/fim-watch/critico/gen_00035.txt,1,0
172,simple,modify,/srv/fim-watch/gen_00026.txt,1,0
173,simple,modify,/srv/fim-watch/gen_00036.txt,1,0
174,simple,modify,/srv/fim-watch/gen_00017.txt,1,0
175,simple,delete,/srv/fim-watch/gen_00023.txt,1,0
176,simple,modify,/srv/fim-watch/gen_00014.txt,1,0
177,simple,modify,/srv/fim-watch/critico/gen_00029.txt,1,0
178,simple,modify,/srv/fim-watch/gen_00032.txt,1,0
179,simple,modify,/srv/fim-watch/gen_00025.txt,1,0
180,simple,delete,/srv/fim-watch/gen_00017.txt,1,0
181,simple,delete,/srv/fim-watch/gen_00030.txt,1,0
182,simple,modify,/srv/fim-watch/gen_00034.txt,1,0
183,simple,delete,/srv/fim-watch/gen_00037.txt,1,0
184,simple,create,/srv/fim-watch/gen_00038.txt,1,0
185,simple,modify,/srv/fim-watch/gen_00025.txt,1,0
186,simple,modify,/srv/fim-watch/critico/gen_00011.txt,1,0
187,simple,modify,/srv/fim-watch/gen_00036.txt,1,0
188,simple,modify,/srv/fim-watch/critico/gen_00027.txt,1,0
189,simple,modify,/srv/fim-watch/gen_00031.txt,1,0
190,revertido,modify,/srv/fim-watch/gen_00034.txt,1,0
191,revertido,modify,/srv/fim-watch/gen_00034.txt,1,0
192,simple,create,/srv/fim-watch/critico/gen_00039.txt,1,1
193,simple,create,/srv/fim-watch/gen_00040.txt,1,1
