event_id,path,detected_at,received_at
85c544da-6a4d-4af1-b06a-8d4948365aa1,/srv/fim-watch/critico/gen_00001.txt,2026-09-18 03:55:29.254623+00,2026-09-18 03:55:29.314206+00
8b304522-88d1-4f49-afd4-6d0c6cde438f,/srv/fim-watch/critico/gen_00001.txt,2026-09-18 03:55:32.855455+00,2026-09-18 03:55:32.931947+00
8378224e-e7d3-4ccf-8d6b-d987d96a3ebe,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:36.454757+00,2026-09-18 03:55:36.525377+00
02eaea4c-d002-4973-ac38-074c0e0d92ed,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:40.054917+00,2026-09-18 03:55:40.125117+00
0f60cd80-f474-4acf-b07e-ee1f84a0cb9b,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:43.654251+00,2026-09-18 03:55:43.716398+00
912a4925-8354-44e4-8a93-b11918433d45,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:47.253938+00,2026-09-18 03:55:47.317703+00
80fe134e-cfe0-4c95-931e-dc8dfd0a48a4,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:50.853625+00,2026-09-18 03:55:50.917535+00
85df2139-15b8-4b9b-b6be-ff6f3f87c6c5,/srv/fim-watch/gen_00003.txt,2026-09-18 03:55:54.453152+00,2026-09-18 03:55:54.511143+00
e30955df-ac00-4db2-860c-2fbd6016abed,/srv/fim-watch/gen_00002.txt,2026-09-18 03:55:58.053315+00,2026-09-18 03:55:58.119191+00
7300305e-37a6-4a21-bb73-b6aa5c92f6bb,/srv/fim-watch/gen_00003.txt,2026-09-18 03:56:01.652706+00,2026-09-18 03:56:01.711839+00
ab27a030-219d-4220-a39e-b189a9409f12,/srv/fim-watch/gen_00002.txt,2026-09-18 03:56:05.252808+00,2026-09-18 03:56:05.314494+00
2706b2f8-1473-450f-b1dd-602bf723c067,/srv/fim-watch/gen_00003.txt,2026-09-18 03:56:08.852616+00,2026-09-18 03:56:08.92105+00
dbe5c83c-6590-4ac1-abe4-d7925881ab88,/srv/fim-watch/gen_00003.txt,2026-09-18 03:56:12.45203+00,2026-09-18 03:56:12.518843+00
