========================================================================
generador_carga.py — arranque 2026-09-18T03:55:29.252500+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 100
  plan.modificaciones          = 350
  plan.borrados                = 50
  plan.grupos_efimeros         = 10
  plan.pares_revertidos        = 35
  plan.rafagas                 = 14
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 500
  plan.archivos_distintos      = 100
========================================================================
inicio_utc = 2026-09-18T03:55:29.253976+00:00
 [00001/500] create simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-18T03:55:29.254151+00:00
 [00002/500] delete simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-18T03:55:32.854490+00:00
 [00003/500] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:36.454029+00:00
 [00004/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:40.053781+00:00
 [00005/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:43.653650+00:00
 [00006/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:47.253297+00:00
 [00007/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:50.852967+00:00
 [00008/500] create simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:55:54.452462+00:00
 [00009/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:55:58.052377+00:00
 [00010/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:01.652066+00:00
 [00011/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:05.251778+00:00
 [00012/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:08.851484+00:00
 [00013/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:12.451257+00:00
 [00014/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:16.050759+00:00
 [00015/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:19.650517+00:00
 [00016/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:23.250364+00:00
 [00017/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:26.849805+00:00
 [00018/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:30.449537+00:00
 [00019/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:34.049355+00:00
 [00020/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:37.649261+00:00
 [00021/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:41.248783+00:00
 [00022/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:44.848620+00:00
 [00023/500] create simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T03:56:48.448132+00:00
 [00024/500] create simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:56:52.047947+00:00
 [00025/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:56:55.647907+00:00
 [00026/500] delete simple     /srv/fim-watch/gen_00002.txt ts=2026-09-18T03:56:59.247287+00:00
 [00027/500] create simple     /srv/fim-watch/gen_00006.txt ts=2026-09-18T03:57:02.846994+00:00
 [00028/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:57:06.446751+00:00
 [00029/500] create simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:57:10.046292+00:00
 [00030/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:57:13.646158+00:00
 [00031/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:57:17.246016+00:00
 [00032/500] delete simple     /srv/fim-watch/gen_00006.txt ts=2026-09-18T03:57:20.845703+00:00
 [00033/500] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T03:57:24.445244+00:00
 [00034/500] create simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:57:28.044940+00:00
 [00035/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:57:31.644971+00:00
 [00036/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:57:35.244719+00:00
 [00037/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:57:38.844311+00:00
 [00038/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:57:42.444026+00:00
 [00039/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:57:46.043708+00:00
 [00040/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:57:49.643140+00:00
 [00041/500] create simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T03:57:53.243237+00:00
 [00042/500] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T03:57:56.842763+00:00
 [00043/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T03:58:00.442554+00:00
 [00044/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:58:04.042339+00:00
 [00045/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:58:07.641893+00:00
 [00046/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T03:58:11.241768+00:00
 [00047/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T03:58:14.841491+00:00
 [00048/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:58:18.441169+00:00
 [00049/500] create simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:58:22.040610+00:00
 [00050/500] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:25.640346+00:00
 [00051/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-18T03:58:29.240332+00:00
 [00052/500] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-18T03:58:32.839901+00:00
 [00053/500] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T03:58:36.439413+00:00
 [00054/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:58:40.039250+00:00
 [00055/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T03:58:43.639291+00:00
 [00056/500] modify simple     /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:47.238688+00:00
 [00057/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:50.838394+00:00
 [00058/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:54.438394+00:00
 [00059/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:58:58.037979+00:00
 [00060/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:59:01.637758+00:00
 [00061/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-18T03:59:05.237415+00:00
 [00062/500] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:08.836965+00:00
 [00063/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:12.436609+00:00
 [00064/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:16.036551+00:00
 [00065/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:19.636269+00:00
 [00066/500] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T03:59:23.235775+00:00
 [00067/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T03:59:26.835666+00:00
 [00068/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-18T03:59:30.435319+00:00
 [00069/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:34.035343+00:00
 [00070/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:37.634665+00:00
 [00071/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-18T03:59:41.234440+00:00
 [00072/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:44.834074+00:00
 [00073/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-18T03:59:48.433923+00:00
 [00074/500] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-18T03:59:52.033523+00:00
 [00075/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:55.633540+00:00
 [00076/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T03:59:59.233090+00:00
 [00077/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:02.832657+00:00
 [00078/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:06.432483+00:00
 [00079/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T04:00:10.032057+00:00
