========================================================================
generador_carga.py — arranque 2026-09-17T21:57:50.842390+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 100
  plan.modificaciones          = 350
  plan.borrados                = 50
  plan.grupos_efimeros         = 10
  plan.pares_revertidos        = 35
  plan.rafagas                 = 14
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 500
  plan.archivos_distintos      = 100
========================================================================
inicio_utc = 2026-09-17T21:57:50.843424+00:00
 [00001/500] create simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-17T21:57:50.843522+00:00
 [00002/500] delete simple     /srv/fim-watch/critico/gen_00001.txt ts=2026-09-17T21:57:54.443618+00:00
 [00003/500] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:57:58.043324+00:00
 [00004/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:01.643381+00:00
 [00005/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:05.242988+00:00
 [00006/500] modify revertido  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:08.842618+00:00
 [00007/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:12.442413+00:00
 [00008/500] create simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:16.041983+00:00
 [00009/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:19.641777+00:00
 [00010/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:23.241369+00:00
 [00011/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:26.841232+00:00
 [00012/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:30.440656+00:00
 [00013/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:34.040626+00:00
 [00014/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:37.640379+00:00
 [00015/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:41.239798+00:00
 [00016/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:44.839751+00:00
 [00017/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:48.439420+00:00
 [00018/500] modify colapsado  /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:58:52.039333+00:00
 [00019/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:55.638972+00:00
 [00020/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:58:59.238576+00:00
 [00021/500] modify revertido  /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:59:02.838526+00:00
 [00022/500] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:59:06.438064+00:00
 [00023/500] create simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T21:59:10.037642+00:00
 [00024/500] create simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T21:59:13.637299+00:00
 [00025/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:59:17.237366+00:00
 [00026/500] delete simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T21:59:20.836963+00:00
 [00027/500] create simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T21:59:24.436480+00:00
 [00028/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:59:28.036213+00:00
 [00029/500] create simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T21:59:31.636006+00:00
 [00030/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:59:35.235749+00:00
 [00031/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T21:59:38.835564+00:00
 [00032/500] delete simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T21:59:42.434974+00:00
 [00033/500] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T21:59:46.034572+00:00
 [00034/500] create simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T21:59:49.634369+00:00
 [00035/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T21:59:53.234351+00:00
 [00036/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T21:59:56.834077+00:00
 [00037/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:00:00.433730+00:00
 [00038/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:00:04.033307+00:00
 [00039/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:00:07.633339+00:00
 [00040/500] modify revertido  /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:00:11.232796+00:00
 [00041/500] create simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:00:14.832546+00:00
 [00042/500] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:00:18.432272+00:00
 [00043/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:00:22.032166+00:00
 [00044/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:00:25.631721+00:00
 [00045/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:00:29.231301+00:00
 [00046/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:00:32.831237+00:00
 [00047/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-17T22:00:36.430908+00:00
 [00048/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:00:40.030544+00:00
 [00049/500] create simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:00:43.630182+00:00
 [00050/500] create simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:00:47.230232+00:00
 [00051/500] modify simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:00:50.829476+00:00
 [00052/500] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:00:54.429242+00:00
 [00053/500] create simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:00:58.028779+00:00
 [00054/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:01:01.629029+00:00
 [00055/500] modify simple     /srv/fim-watch/gen_00003.txt ts=2026-09-17T22:01:05.228781+00:00
 [00056/500] modify simple     /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:08.828251+00:00
 [00057/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:12.427965+00:00
 [00058/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:16.027890+00:00
 [00059/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:19.627434+00:00
 [00060/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:23.227430+00:00
 [00061/500] modify colapsado  /srv/fim-watch/gen_00012.txt ts=2026-09-17T22:01:26.826681+00:00
 [00062/500] create simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:30.426640+00:00
 [00063/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:01:34.026458+00:00
 [00064/500] modify revertido  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:01:37.625895+00:00
 [00065/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:41.226072+00:00
 [00066/500] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:01:44.825285+00:00
 [00067/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:01:48.425127+00:00
 [00068/500] modify simple     /srv/fim-watch/critico/gen_00009.txt ts=2026-09-17T22:01:52.025082+00:00
 [00069/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:01:55.624743+00:00
 [00070/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:01:59.224337+00:00
 [00071/500] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:02:02.824055+00:00
 [00072/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:02:06.423678+00:00
 [00073/500] modify revertido  /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:02:10.023348+00:00
 [00074/500] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:02:13.623033+00:00
 [00075/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:17.222781+00:00
 [00076/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:20.822267+00:00
 [00077/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:24.422267+00:00
 [00078/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:28.022066+00:00
 [00079/500] modify colapsado  /srv/fim-watch/critico/gen_00011.txt ts=2026-09-17T22:02:31.621405+00:00
