event_id,path,event_type,status,severity,detected_at,received_at
70797aaf-8f41-4dbb-9d99-aaf993fca613,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:58.942147+00,2026-09-18 00:12:58.922391+00
a320e377-f555-490a-9d04-eba630be0377,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.042811+00,2026-09-18 00:12:58.936191+00
3ef7707c-12a6-41af-929d-8363e8f90bf4,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.142612+00,2026-09-18 00:12:58.958457+00
f53f7edb-36bd-49a7-a9dd-9ef4f5e944d7,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.242818+00,2026-09-18 00:12:58.974995+00
58dde566-1fc2-4f3a-be5a-5344a692566d,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.34261+00,2026-09-18 00:12:58.992566+00
6dfb32b9-4b8c-4c96-92ab-f956e6de9bb0,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.442559+00,2026-09-18 00:12:59.010461+00
6055385e-7c03-411b-9e97-485c4142b435,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.543024+00,2026-09-18 00:12:59.026454+00
0968e163-fd4f-46f7-ab87-7a86a02b1676,/srv/fim-watch/gen_00004.txt,file_modified,alert_only,high,2026-09-18 00:07:59.642607+00,2026-09-18 00:12:59.042483+00
5903b871-e7ba-413d-b962-cde02853b478,/srv/fim-watch/gen_00011.txt,file_modified,alert_only,high,2026-09-18 00:07:59.742789+00,2026-09-18 00:12:59.05731+00
3b328538-0a16-4614-a55c-3298fb4b93a5,/srv/fim-watch/gen_00012.txt,file_modified,alert_only,high,2026-09-18 00:07:59.84311+00,2026-09-18 00:12:59.073545+00
49f73d71-d096-421b-86ff-685f73ad25bb,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 00:07:59.94313+00,2026-09-18 00:12:59.089881+00
3b645b49-9d33-4b4f-b6b6-6427f28409b2,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 00:08:00.042699+00,2026-09-18 00:12:59.114999+00
0fe376aa-73ba-4886-87a9-e98a9baaec9f,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 00:08:00.142819+00,2026-09-18 00:12:59.12112+00
4193e6ac-1d58-44e1-87ff-1f17eff1bcdb,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 00:08:00.242376+00,2026-09-18 00:12:59.137546+00
2b70e276-eafe-48d5-8472-e62318d726c7,/srv/fim-watch/gen_00007.txt,file_modified,alert_only,high,2026-09-18 00:08:00.342463+00,2026-09-18 00:12:59.152086+00
a9d758e9-be47-44af-acc1-10b4ec668a53,/srv/fim-watch/gen_00010.txt,file_modified,alert_only,high,2026-09-18 00:08:00.442425+00,2026-09-18 00:12:59.167471+00
090a6ac9-6f8d-4927-8756-7c913e134085,/srv/fim-watch/gen_00007.txt,file_deleted,alert_only,high,2026-09-18 00:08:00.542791+00,2026-09-18 00:12:59.183768+00
a25bab41-5b24-4c01-8289-ab706d0fbfeb,/srv/fim-watch/gen_00012.txt,file_deleted,alert_only,high,2026-09-18 00:08:00.642684+00,2026-09-18 00:12:59.198893+00
02c8cf22-280c-4d0a-8a3c-94a4fb2f74b1,/srv/fim-watch/gen_00013.txt,file_created,alert_only,high,2026-09-18 00:08:00.743005+00,2026-09-18 00:12:59.213867+00
aba4dfbd-e74b-4a49-a910-6dc7ea221355,/srv/fim-watch/gen_00013.txt,file_modified,alert_only,high,2026-09-18 00:08:00.842764+00,2026-09-18 00:12:59.230259+00
8e4ee2c0-1d3d-40c6-a71d-97461368eb47,/srv/fim-watch/gen_00010.txt,file_modified,alert_only,high,2026-09-18 00:08:01.042694+00,2026-09-18 00:12:59.245612+00
50c3825d-72ad-43aa-a491-15fd0c9e6f0d,/srv/fim-watch/gen_00011.txt,file_modified,alert_only,high,2026-09-18 00:08:01.142904+00,2026-09-18 00:12:59.26039+00
