[2026-09-17T23:39:52.269131524Z] === Battery 5 — label=nominal rate_limit=100/60s ===
[2026-09-17T23:39:52.279718316Z] candidate=7a906c202e417aec5f03d9a7545e216a724aca81 tree=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T23:39:52.836750908Z] initial: events=0 queue+discarded=0 0 valkey_6380=1
[2026-09-17T23:39:52.843913913Z] --- phase 1: stop the backend (5-minute outage) ---
[2026-09-17T23:39:53.985860293Z] backend stopped; valkey_6380=1
[2026-09-17T23:39:53.992112263Z] --- phase 2: generate 3000 changes at 10/s over 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T23:39:54.360999+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 10.0
  count                        = 3000
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 299.90000000000003
  manifiesto                   = /srv/evidencia/bateria5_nominal_manifiesto.json
  log                          = /srv/evidencia/bateria5_nominal_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 600
  plan.modificaciones          = 2100
  plan.borrados                = 300
  plan.grupos_efimeros         = 60
  plan.pares_revertidos        = 210
  plan.rafagas                 = 84
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 3000
  plan.archivos_distintos      = 600
========================================================================
inicio_utc = 2026-09-17T23:39:54.365727+00:00
 [00001/3000] create simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:54.365932+00:00
 [00002/3000] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:54.466456+00:00
 [00003/3000] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:54.567133+00:00
 [00004/3000] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:54.666431+00:00
 [00005/3000] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:54.766464+00:00
 [00006/3000] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T23:39:54.866288+00:00
 [00007/3000] create simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:54.966293+00:00
 [00008/3000] delete simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T23:39:55.066556+00:00
 [00009/3000] create simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:55.166141+00:00
 [00010/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:55.266312+00:00
 [00011/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:55.366998+00:00
 [00012/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:55.466108+00:00
 [00013/3000] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T23:39:55.566716+00:00
 [00014/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:55.666469+00:00
 [00015/3000] create simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T23:39:55.766244+00:00
 [00016/3000] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T23:39:55.866122+00:00
 [00017/3000] create simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:39:55.966207+00:00
 [00018/3000] create simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:56.066553+00:00
 [00019/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:56.166449+00:00
 [00020/3000] modify revertido  /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:56.266705+00:00
 [00021/3000] modify revertido  /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:56.367103+00:00
 [00022/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:56.466446+00:00
 [00023/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:39:56.566603+00:00
 [00024/3000] delete simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T23:39:56.666313+00:00
 [00025/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:39:56.766402+00:00
 [00026/3000] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T23:39:56.866254+00:00
 [00027/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:56.966187+00:00
 [00028/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:57.066604+00:00
 [00029/3000] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T23:39:57.166219+00:00
 [00030/3000] create efimero    /srv/fim-watch/gen_00009.txt ts=2026-09-17T23:39:57.266580+00:00
 [00031/3000] delete efimero    /srv/fim-watch/gen_00009.txt ts=2026-09-17T23:39:57.366241+00:00
 [00032/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:39:57.466507+00:00
 [00033/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T23:39:57.566649+00:00
 [00034/3000] delete simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T23:39:57.666299+00:00
 [00035/3000] create simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:39:57.766306+00:00
 [00036/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T23:39:57.866900+00:00
 [00037/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:57.966450+00:00
 [00038/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.066786+00:00
 [00039/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.166472+00:00
 [00040/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.266816+00:00
 [00041/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T23:39:58.366944+00:00
