[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 10.0
  count                        = 3000
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 299.90000000000003
  manifiesto                   = /srv/evidencia/bateria5_nominal_manifiesto.json
  log                          = /srv/evidencia/bateria5_nominal_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
  plan.creaciones              = 600
  plan.modificaciones          = 2100
  plan.borrados                = 300
  plan.grupos_efimeros         = 60
  plan.pares_revertidos        = 210
  plan.rafagas                 = 84
  plan.tamano_rafaga           = 5
  plan.operaciones_planificadas = 3000
  plan.archivos_distintos      = 600
========================================================================
inicio_utc = 2026-09-17T22:41:18.952122+00:00
 [00001/3000] create simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:18.952247+00:00
 [00002/3000] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:19.052800+00:00
 [00003/3000] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:19.152797+00:00
 [00004/3000] modify revertido  /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:19.253332+00:00
 [00005/3000] modify simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:19.352787+00:00
 [00006/3000] create simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T22:41:19.453151+00:00
 [00007/3000] create simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:19.552701+00:00
 [00008/3000] delete simple     /srv/fim-watch/gen_00001.txt ts=2026-09-17T22:41:19.653104+00:00
 [00009/3000] create simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:19.752560+00:00
 [00010/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:19.852737+00:00
 [00011/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:19.953042+00:00
 [00012/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:20.052718+00:00
 [00013/3000] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T22:41:20.152794+00:00
 [00014/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:20.252789+00:00
 [00015/3000] create simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:41:20.352707+00:00
 [00016/3000] delete simple     /srv/fim-watch/gen_00005.txt ts=2026-09-17T22:41:20.452623+00:00
 [00017/3000] create simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:20.552708+00:00
 [00018/3000] create simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:20.652916+00:00
 [00019/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:20.752817+00:00
 [00020/3000] modify revertido  /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:20.853270+00:00
 [00021/3000] modify revertido  /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:20.953173+00:00
 [00022/3000] modify simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:21.052802+00:00
 [00023/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:21.153289+00:00
 [00024/3000] delete simple     /srv/fim-watch/critico/gen_00003.txt ts=2026-09-17T22:41:21.252645+00:00
 [00025/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:21.352779+00:00
 [00026/3000] create simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:21.452439+00:00
 [00027/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:21.552460+00:00
 [00028/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:21.652813+00:00
 [00029/3000] modify simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T22:41:21.752888+00:00
 [00030/3000] create efimero    /srv/fim-watch/gen_00009.txt ts=2026-09-17T22:41:21.852911+00:00
 [00031/3000] delete efimero    /srv/fim-watch/gen_00009.txt ts=2026-09-17T22:41:21.953081+00:00
 [00032/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:22.052801+00:00
 [00033/3000] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-17T22:41:22.152659+00:00
 [00034/3000] delete simple     /srv/fim-watch/gen_00002.txt ts=2026-09-17T22:41:22.252672+00:00
 [00035/3000] create simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:22.352701+00:00
 [00036/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:22.453156+00:00
 [00037/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:22.552899+00:00
 [00038/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:22.652677+00:00
 [00039/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:22.752911+00:00
 [00040/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:22.852779+00:00
 [00041/3000] modify colapsado  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:22.952818+00:00
 [00042/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:23.052808+00:00
